recording,TP count,FP count,FN count
file001,15.0,0.0,7.0
file002,15.0,0.0,5.0
file003,18.0,1.0,24.0
file004,22.0,0.0,2.0
file005,13.0,0.0,5.0
file006,17.0,0.0,5.0
file007,8.0,0.0,0.0
file008,11.0,1.0,3.0
file009,8.0,1.0,10.0
file010,5.0,0.0,1.0
file011,5.0,0.0,1.0
file012,12.0,1.0,8.0
file013,2.0,0.0,1.0
file014,4.0,0.0,2.0
file015,0.0,0.0,3.0
file016,8.0,0.0,3.0
file017,4.0,0.0,2.0
file018,1.0,0.0,2.0
file019,1.0,0.0,2.0
file020,5.0,0.0,0.0
file021,4.0,0.0,10.0
file022,3.0,0.0,1.0
file023,2.0,0.0,1.0
file024,4.0,0.0,3.0
file025,0.0,0.0,6.0
file026,6.0,0.0,4.0
file027,0.0,0.0,1.0
file028,1.0,0.0,3.0
file029,1.0,0.0,8.0
file030,5.0,0.0,0.0
file031,3.0,0.0,0.0
file032,6.0,0.0,5.0
file033,3.0,0.0,1.0
file034,2.0,0.0,3.0
file035,3.0,0.0,25.0
file036,33.0,0.0,0.0
file037,9.0,0.0,14.0
file038,2.0,0.0,0.0
file039,1.0,0.0,3.0
file040,14.0,3.0,8.0
file041,8.0,0.0,0.0
file042,4.0,0.0,0.0
file043,4.0,0.0,2.0
file044,3.0,0.0,0.0
file045,16.0,0.0,3.0
file046,0.0,0.0,12.0
file047,1.0,0.0,5.0
file048,4.0,0.0,0.0
file049,40.0,0.0,19.0
file050,27.0,0.0,38.0
file051,10.0,1.0,9.0
file052,26.0,0.0,29.0
file053,8.0,0.0,28.0
file054,2.0,0.0,1.0
file055,2.0,0.0,7.0
file056,6.0,0.0,0.0
file057,1.0,0.0,2.0
file058,0.0,0.0,1.0
file059,6.0,0.0,0.0
file060,5.0,0.0,0.0
file061,5.0,0.0,0.0
file062,6.0,0.0,0.0
file063,9.0,0.0,4.0
file064,7.0,0.0,1.0
file065,4.0,0.0,0.0
file067,5.0,0.0,3.0
file068,4.0,0.0,1.0
file069,7.0,0.0,0.0
file070,1.0,0.0,3.0
file071,5.0,0.0,3.0
file072,9.0,0.0,7.0
