recording,TP count,FP count,FN count
file001,17.0,0.0,5.0
file002,15.0,0.0,5.0
file003,19.0,1.0,23.0
file004,22.0,1.0,2.0
file005,13.0,0.0,5.0
file006,19.0,0.0,3.0
file007,8.0,0.0,0.0
file008,12.0,2.0,2.0
file009,8.0,0.0,10.0
file010,6.0,0.0,0.0
file011,4.0,0.0,2.0
file012,15.0,1.0,5.0
file013,2.0,0.0,1.0
file014,4.0,0.0,2.0
file015,0.0,0.0,3.0
file016,8.0,0.0,3.0
file017,4.0,0.0,2.0
file018,1.0,0.0,2.0
file019,1.0,0.0,2.0
file020,5.0,0.0,0.0
file021,8.0,1.0,6.0
file022,3.0,0.0,1.0
file023,2.0,0.0,1.0
file024,5.0,0.0,2.0
file025,1.0,0.0,5.0
file026,8.0,0.0,2.0
file027,1.0,0.0,0.0
file028,2.0,0.0,2.0
file029,1.0,0.0,8.0
file030,5.0,0.0,0.0
file031,3.0,0.0,0.0
file032,5.0,0.0,6.0
file033,3.0,0.0,1.0
file034,4.0,0.0,1.0
file035,3.0,0.0,25.0
file036,33.0,0.0,0.0
file037,5.0,2.0,18.0
file038,2.0,0.0,0.0
file039,3.0,0.0,1.0
file040,13.0,1.0,9.0
file041,8.0,0.0,0.0
file042,4.0,0.0,0.0
file043,5.0,0.0,1.0
file044,3.0,0.0,0.0
file045,16.0,0.0,3.0
file046,0.0,0.0,12.0
file047,2.0,0.0,4.0
file048,4.0,0.0,0.0
file049,38.0,0.0,21.0
file050,35.0,0.0,30.0
file051,10.0,2.0,9.0
file052,25.0,0.0,30.0
file053,10.0,0.0,26.0
file054,2.0,0.0,1.0
file055,3.0,0.0,6.0
file056,6.0,0.0,0.0
file057,3.0,0.0,0.0
file058,0.0,0.0,1.0
file059,5.0,0.0,1.0
file060,5.0,1.0,0.0
file061,5.0,0.0,0.0
file062,6.0,0.0,0.0
file063,9.0,0.0,4.0
file064,7.0,0.0,1.0
file065,4.0,0.0,0.0
file067,4.0,0.0,4.0
file068,5.0,0.0,0.0
file069,7.0,0.0,0.0
file070,2.0,0.0,2.0
file071,5.0,0.0,3.0
file072,8.0,0.0,8.0
