roc_recall,one_minus_fpr,roc_precision
0.000,1.000,1.000
0.010,1.000,1.000
0.020,1.000,1.000
0.030,1.000,1.000
0.040,1.000,1.000
0.050,1.000,1.000
0.060,1.000,1.000
0.070,1.000,1.000
0.080,1.000,1.000
0.090,1.000,1.000
0.100,1.000,1.000
0.110,1.000,0.998
0.120,1.000,0.989
0.130,1.000,0.990
0.140,1.000,0.982
0.150,1.000,0.983
0.160,1.000,0.976
0.170,1.000,0.978
0.180,1.000,0.979
0.190,1.000,0.980
0.200,1.000,0.981
0.210,1.000,0.982
0.220,1.000,0.983
0.230,1.000,0.983
0.240,1.000,0.983
0.250,1.000,0.984
0.260,1.000,0.985
0.270,1.000,0.985
0.280,1.000,0.984
0.290,1.000,0.982
0.300,1.000,0.982
0.310,1.000,0.983
0.320,1.000,0.983
0.330,1.000,0.984
0.340,1.000,0.985
0.350,1.000,0.985
0.360,1.000,0.986
0.370,1.000,0.986
0.380,1.000,0.983
0.390,1.000,0.980
0.400,1.000,0.981
0.410,1.000,0.981
0.420,1.000,0.982
0.430,1.000,0.982
0.440,1.000,0.980
0.450,1.000,0.980
0.460,1.000,0.980
0.470,1.000,0.977
0.480,1.000,0.973
0.490,1.000,0.974
0.500,1.000,0.974
0.510,1.000,0.972
0.520,1.000,0.973
0.530,1.000,0.973
0.540,1.000,0.974
0.550,1.000,0.974
0.560,1.000,0.974
0.570,1.000,0.974
0.580,1.000,0.972
0.590,1.000,0.972
0.600,1.000,0.973
0.610,0.999,0.971
0.620,0.999,0.972
0.630,0.999,0.973
0.640,0.999,0.973
0.650,0.999,0.972
0.660,0.999,0.970
0.670,0.999,0.971
0.680,0.999,0.971
0.690,0.999,0.971
0.700,0.999,0.968
0.710,0.998,0.962
0.720,0.998,0.961
0.730,0.998,0.958
0.740,0.998,0.949
0.750,0.998,0.947
0.760,0.997,0.943
0.770,0.997,0.941
0.780,0.997,0.935
0.790,0.996,0.927
0.800,0.996,0.914
0.810,0.994,0.900
0.820,0.993,0.887
0.830,0.992,0.878
0.840,0.990,0.864
0.850,0.988,0.849
0.860,0.986,0.829
0.870,0.981,0.808
0.880,0.976,0.798
0.890,0.973,0.790
0.900,0.967,0.785
0.910,0.955,0.769
0.920,0.942,0.760
0.930,0.927,0.758
0.940,0.898,0.749
0.950,0.864,0.747
0.960,0.806,0.741
0.970,0.732,0.739
0.980,0.626,0.734
0.990,0.438,0.731
1.000,0.219,0.366
1.010,0.000,0.000
