recording,TP count,FP count,FN count
file001,17.0,0.0,5.0
file002,16.0,0.0,4.0
file003,20.0,2.0,22.0
file004,21.0,0.0,3.0
file005,14.0,2.0,4.0
file006,19.0,0.0,3.0
file007,7.0,0.0,1.0
file008,12.0,2.0,2.0
file009,9.0,0.0,9.0
file010,6.0,0.0,0.0
file011,6.0,0.0,0.0
file012,18.0,0.0,2.0
file013,3.0,1.0,0.0
file014,4.0,0.0,2.0
file015,1.0,0.0,2.0
file016,6.0,0.0,5.0
file017,5.0,0.0,1.0
file018,2.0,0.0,1.0
file019,2.0,0.0,1.0
file020,5.0,0.0,0.0
file021,11.0,0.0,3.0
file022,3.0,0.0,1.0
file023,2.0,0.0,1.0
file024,6.0,0.0,1.0
file025,4.0,0.0,2.0
file026,5.0,0.0,5.0
file027,1.0,0.0,0.0
file028,2.0,0.0,2.0
file029,2.0,0.0,7.0
file030,5.0,0.0,0.0
file031,3.0,0.0,0.0
file032,6.0,0.0,5.0
file033,3.0,0.0,1.0
file034,3.0,0.0,2.0
file035,6.0,0.0,22.0
file036,33.0,0.0,0.0
file037,12.0,1.0,11.0
file038,2.0,0.0,0.0
file039,3.0,0.0,1.0
file040,12.0,1.0,10.0
file041,8.0,0.0,0.0
file042,3.0,0.0,1.0
file043,5.0,0.0,1.0
file044,3.0,0.0,0.0
file045,17.0,0.0,2.0
file046,3.0,0.0,9.0
file047,1.0,0.0,5.0
file048,4.0,0.0,0.0
file049,36.0,2.0,23.0
file050,40.0,0.0,25.0
file051,10.0,2.0,9.0
file052,28.0,0.0,27.0
file053,14.0,2.0,22.0
file054,2.0,0.0,1.0
file055,3.0,0.0,6.0
file056,6.0,0.0,0.0
file057,3.0,0.0,0.0
file058,1.0,0.0,0.0
file059,6.0,0.0,0.0
file060,5.0,0.0,0.0
file061,5.0,0.0,0.0
file062,6.0,0.0,0.0
file063,11.0,0.0,2.0
file064,6.0,0.0,2.0
file065,4.0,0.0,0.0
file067,3.0,0.0,5.0
file068,2.0,0.0,3.0
file069,7.0,0.0,0.0
file070,1.0,0.0,3.0
file071,3.0,1.0,5.0
file072,10.0,0.0,6.0
